2606:4700::6812:1be0                    # clicks.deliveroo.co.uk
2606:4700::6812:603c                    # spotscenered.info
2606:4700::6812:613c                    # spotscenered.info
2606:4700:e4::ac40:a423                 # ads.opensubtitles.org
2606:4700:e4::ac40:a523                 # ads.opensubtitles.org
2606:4700:e6::ac40:ca0a                 # ay.delivery
2606:4700:e6::ac40:cb0a                 # ay.delivery
2607:5300:60:7fe0::                     # ad.abum.com
2607:f128:1:200::1:2                    # ad.simgames.net
2607:f1c0:100f:f000::254                # ads.emdee.ca
2607:f8b0:4000:805::200e                # doubleclick.com
2607:f8b0:4023:1000::64                 # admeld.com
2607:f8b0:4023:1000::66                 # admeld.com
2607:f8b0:4023:1000::71                 # admeld.com
2607:f8b0:4023:1000::84                 # ads.gmodules.com
2607:f8b0:4023:1000::8b                 # admeld.com
2607:f8b0:4023:1002::64                 # admob.com
2607:f8b0:4023:1002::66                 # admob.com
2607:f8b0:4023:1002::71                 # admob.com
2607:f8b0:4023:1002::8a                 # admob.com
2620:0:890::100                         # ads-game-187f4.firebaseapp.com
2620:109:c002::6cae:a18                 # ads.linkedin.com
2620:149:a42:208::5                     # metrics.icloud.com
2620:149:a42:20d::a                     # metrics.icloud.com
2620:149:a42:20d::d                     # metrics.icloud.com
2620:149:a42:20e::a                     # metrics.icloud.com
2620:149:a42:20f::10                    # metrics.icloud.com
2620:149:a42:210::b                     # metrics.icloud.com
2620:149:a42:211::6                     # metrics.icloud.com
2620:149:a42:212::c                     # metrics.icloud.com
2620:1ec:c11::200                       # ads.bing.com
2a00:1148:db00::17                      # ads.icq.com
2a00:15f8:a000:5:1:11:6:bd79            # top100.mafia.ru
2a00:15f8:a000:5:1:12:6:bd79            # top100.mafia.ru
2a00:15f8:a000:5:1:13:6:bd79            # top100.mafia.ru
2a00:15f8:a000:5:1:14:6:bd79            # top100.mafia.ru
2a00:da80:e::129                        # ad.centrum.cz
2a01:4f8:c010:3f9c::1                   # ad.nachtagenten.de
2a01:4f8:c17:c19c::1                    # ad.nachtagenten.de
2a01:4f8:c2c:abf5::1                    # ad.nachtagenten.de
2a01:4f8:d0a:60b4::2                    # admatchly.com
2a01:518:1:41:2::53                     # phpadsnew.new.natuurpark.nl
2a02:6b8::1be                           # ads.adfox.ru
2a02:c500:1:107::1                      # ads.lifethink.net
2a02:cb40:200::d4                       # adcell.de
2a03:4000:28:fd::1                      # ad1.emule-project.org
2a03:6f00:1::5c35:6094                  # spylog.com
2a03:b0c0:1:e0::445:9001                # phpadsnew.new.natuurpark.nl
